Month,Day,Saint,Source,Notes
March,21,Benedict of Nursia,mar/day-21,
March,22,Lea of Rome,mar/day-22,
March,23,Nicon and the 199 Sicilian Monk-Martyrs,mar/day-23,swap 2026-05-14 (twelfth correction): Turibius (canonized 1726) absent from AASS; Nicon at line 43 (headline saint of the day, monk-martyrs near Taormina)
March,24,Catherine of Sweden,mar/day-24,
March,25,Dismas the Good Thief,mar/day-25,swap 2026-05-14 (eleventh correction): Annunciation feast has no DE-section in AASS Mar 25; Dismas at line 1429 (DE SANCTO LATRONE CRUCIFIXO CUM CHRISTO — the medieval reckoning paired Christ's conception and crucifixion on the same calendar day, hence Dismas's traditional March 25)
March,26,Ludger of Münster,mar/day-26,
March,27,Rupert of Salzburg,mar/day-27,
March,28,John of Capistrano,mar/day-28,
March,29,Berthold of Carmel,mar/day-29,
March,30,John Climacus,mar/day-30,
March,31,Benjamin the Deacon,mar/day-31,
April,1,Hugh of Grenoble,apr/day-01,
April,2,Francis of Paola,apr/day-02,
April,3,Richard of Chichester,apr/day-03,
April,4,Isidore of Seville,apr/day-04,
April,5,Vincent Ferrer,apr/day-05,
April,6,Methodius (Apostle to the Slavs),apr/day-06,KEEP 2026-05-14 (twelfth correction): substantively in AASS at Mar 9 line 1384 (joint with Cyril); Apr 6 = his death day 885
April,7,Hegesippus,apr/day-07,
April,8,Walter of Pontoise,apr/day-08,
April,9,Waltrude of Mons,apr/day-09,
April,10,Bademus of Persia,apr/day-10,
April,11,Stanislaus of Krakow,apr/day-11,
April,12,"Julius I, Pope",apr/day-12,
April,13,"Martin I, Pope",apr/day-13,
April,14,Lidwina of Schiedam,apr/day-14,
April,15,Hunna of Strasbourg,apr/day-15,
April,16,Magnus of Orkney,apr/day-16,
April,17,Stephen Harding,apr/day-17,
April,18,Apollonius the Apologist,apr/day-18,
April,19,Alphege of Canterbury,apr/day-19,
April,20,Agnes of Montepulciano,apr/day-20,
April,21,Anselm of Canterbury,apr/day-21,
April,22,Theodore of Sykeon,apr/day-22,
April,23,Adalbert of Prague,apr/day-23,
April,24,Mellitus of Canterbury,apr/day-24,
April,25,Mark the Evangelist,apr/day-25,
April,26,Stephen of Perm,apr/day-26,
April,27,Zita of Lucca,apr/day-27,
April,28,Vitalis and Valeria,apr/day-28,swap 2026-05-14 (twelfth correction): Hugh of Cluny absent from AASS substantively; Vitalis and Valeria at line 2193 (early Roman martyr-couple)
April,29,Catherine of Siena,apr/day-29,KEEP 2026-05-14 (twelfth correction): substantively in AASS at Apr 30 line 18733 (DE S. CATHARINA SENENSI); modern Roman calendar moved feast to Apr 29
April,30,"Pius V, Pope",apr/day-30,
May,1,Sigismund of Burgundy,may/day-01,
May,2,Athanasius of Alexandria,may/day-02,
May,3,Juvenal of Narni,may/day-03,SWAPPED 2026-06-24: Philip & James not treated in AASS May 3. Swapped to Juvenal of Narni (first bishop, substantive Life). Re-drafted from source.
May,4,Monica,may/day-04,old feast (revised RC moved to Aug 27)
May,5,Hilary of Arles,may/day-05,
May,6,Petronax of Monte Cassino,may/day-06,
May,7,Benedict II (Pope),may/day-07,SWAPPED 2026-06-24: John of Beverley absent from the AASS corpus here (from Bede). Swapped to Pope Benedict II (d.686), substantively treated May 7. Re-drafted from Anastasius.
May,8,Peter of Tarentaise,may/day-08,
May,9,Pachomius the Great,may/day-09,KEEP 2026-05-14 (twelfth correction): substantively in AASS at May 14 line 3224 (DE SANCTIS ABBATIBVS PACHOMIO ET THEODORO); May 9 placement is likely from a regional Eastern calendar variant
May,10,Comgall of Bangor,may/day-10,SWAPPED 2026-06-24: Antoninus of Florence is NOT in this AASS corpus — day-25 is the Zenobius dossier and only cites Antoninus's chronicle. Real broken mapping. Swapped to Comgall of Bangor (abbot, substantive Life in day-10/saints/0007-comgall.md). Re-drafted from source.
May,11,Mamertus of Vienne,may/day-11,
May,12,Pancras (Pancratius),may/day-12,SWAPPED 2026-06-24: day-12 source treats a different Germanus (Hegumen of Cosinitra), not the Patriarch. Swapped to Pancras, the Roman boy-martyr whose feast is May 12. Re-drafted from his Acts.
May,13,Servatus of Tongeren,may/day-13,
May,14,Carthach the Younger of Lismore,may/day-14,
May,15,Isidore the Farmer,may/day-15,
May,16,Brendan the Navigator,may/day-16,
May,17,Paschal Baylon,may/day-17,
May,18,"John I, Pope",may/day-18,KEPT 2026-06-24 (not swapped): feast genuinely May 18; AASS Life is filed at day-27/saints/0010-john-pope-i.md. Quote re-sourced from there.
May,19,Dunstan of Canterbury,may/day-19,
May,20,Bernardine of Siena,may/day-20,
May,21,Godric of Finchale,may/day-21,swap 2026-05-13: Bobola post-AASS (canonized 1938)
May,22,Rita of Cascia,may/day-22,
May,23,William of Rochester,may/day-23,
May,24,Vincent of Lerins,may/day-24,
May,25,"Gregory VII, Pope",may/day-25,
May,26,Augustine of Canterbury,may/day-26,AASS-native death day
May,27,Bede the Venerable,may/day-27,AASS-traditional Western feast
May,28,Germanus of Paris,may/day-28,
May,29,Maximinus of Trier,may/day-29,
May,30,Isaac the Anchorite,may/day-30,re-swap 2026-05-13: Walstan not in AASS Maii VII; Isaac is at line 1650
May,31,Petronilla,may/day-31,swap 2026-05-14 (eleventh correction): Visitation feast has no DE-section in AASS May 31; Petronilla at line 68 (Roman virgin-martyr, traditionally daughter of St. Peter, buried in the Catacombs of Domitilla)
June,1,Justin Martyr,jun/day-01,
June,2,Martyrs of Lyons,jun/day-02,
June,3,Kevin of Glendalough,jun/day-03,
June,4,Petroc of Cornwall,jun/day-04,
June,5,Boniface of Mainz,jun/day-05,
June,6,Norbert of Xanten,jun/day-06,
June,7,Robert of Newminster,jun/day-07,
June,8,Medard of Noyon,jun/day-08,
June,9,Columba of Iona,jun/day-09,
June,10,Margaret of Scotland,jun/day-10,
June,11,Barnabas the Apostle,jun/day-11,
June,12,"Leo III, Pope",jun/day-12,
June,13,Anthony of Padua,jun/day-13,
June,14,Methodius I of Constantinople,jun/day-14,
June,15,Landelinus of Crespin,jun/day-15,swap 2026-05-13: Germaine Cousin canonized 1867 post-AASS Junii
June,16,Lutgardis of Aywières,jun/day-16,
June,17,Botulph of Icanho,jun/day-17,
June,18,Elizabeth of Schönau,jun/day-18,
June,19,Bruno of Querfurt,jun/day-19,re-swap 2026-05-13: Romuald's AASS day is Feb 7 not Jun 19; Bruno (AASS Bonifacius) at AASS Junii III line 17201
June,20,"Silverius, Pope",jun/day-20,
June,21,Alban of Mainz,jun/day-21,re-swap 2026-05-13: Eusebius of Samosata's AASS day is Jun 22 not 21; Alban at AASS Junii IV line 3027
June,22,Paulinus of Nola,jun/day-22,
June,23,Etheldreda of Ely,jun/day-23,
June,24,John the Baptist,jun/day-24,reframe 2026-05-14 (eleventh correction): Nativity is feast-only but AASS Jun 24 line 42 has substantive treatment of John himself (DE SANCTO IOANNE PRODROMO ET BAPTISTA) — entry recast from feast to saint
June,25,Prosper of Reggio Emilia,jun/day-25,SWAPPED 2026-06-24: AASS June 25 treats Prosper of Reggio Emilia (bishop), not Prosper of Aquitaine — Bollandists explicitly distinguish them. Re-drafted from his Lessons.
June,26,Anthelm of Belley,jun/day-26,
June,27,Ladislaus I of Hungary,jun/day-27,
June,28,Irenaeus of Lyons,jun/day-28,
June,29,Peter and Paul,jun/day-29,feast
June,30,Erentrude of Salzburg,jun/day-30,SWAPPED 2026-06-24: "First Martyrs of Rome" is a 1969 feast not in the AASS Junii. Swapped to Erentrude of Salzburg (first abbess of Nonnberg), substantively treated on June 30. Re-drafted from her Life.
July,1,Julius of Caerleon,jul/day-01,re-swap 2026-05-13: Aaron is AASS praetermissi only; Julius alone is substantive day-1 entry. NOTE: local AASS Latin for Jul 1 is header-only
July,2,Otto of Bamberg,jul/day-02,
July,3,"Leo II, Pope",jul/day-03,
July,4,Elizabeth of Portugal,jul/day-04,
July,5,Athanasius of Athos,jul/day-05,
July,6,Sexburga of Ely,jul/day-06,
July,7,Willibald of Eichstätt,jul/day-07,
July,8,Kilian of Würzburg,jul/day-08,
July,9,Anatolia and Audax,jul/day-09,swap 2026-05-13: Gorkum martyrs canonized 1867 post-AASS Julii
July,10,Rufina and Secunda,jul/day-10,swap 2026-05-13: Giuliani canonized 1839 post-AASS Julii
July,11,"Pius I, Pope",jul/day-11,
July,12,John Gualbert,jul/day-12,
July,13,"Henry II, Emperor",jul/day-13,KEEP 2026-05-14 (twelfth correction): substantively in AASS at Jul 14 line 14713 (DE S. HENRICO IMPERATORE); modern Roman calendar moved feast to Jul 13 (his actual death day in 1024)
July,14,Bonaventure,jul/day-14,AASS-traditional date
July,15,David of Munktorp,jul/day-15,
July,16,Our Lady of Mount Carmel,jul/day-16,feast
July,17,Marcellina,jul/day-17,
July,18,Frederick of Utrecht,jul/day-18,
July,19,Macrina the Younger,jul/day-19,
July,20,Elijah the Prophet,jul/day-20,Carmelite tradition; biblical
July,21,Praxedes of Rome,jul/day-21,swap 2026-05-13: Brindisi canonized 1881 post-AASS Julii V
July,22,Mary Magdalene,jul/day-22,
July,23,Bridget of Sweden,jul/day-23,KEEP 2026-05-14 (twelfth correction): substantively in AASS at Oct 8 line 89244 (DE S. BIRGITTA VIDUA); pre-1969 Roman feast was Oct 8 (date of canonization 1391); 1969 reform moved feast to Jul 23 (her death day 1373)
July,24,Christina the Astonishing,jul/day-24,
July,25,"James the Greater, Apostle",jul/day-25,
July,26,Anne (mother of the Virgin),jul/day-26,
July,27,Pantaleon,jul/day-27,swap 2026-05-14 (twelfth correction): Celestine I absent from AASS Jul 27; Pantaleon at line 6602 (great healing-saint of Eastern antiquity, pairs with Cosmas and Damian Sep 27)
July,28,Samson of Dol,jul/day-28,
July,29,Martha of Bethany,jul/day-29,
July,30,Peter Chrysologus,jul/day-30,
July,31,Ignatius of Loyola,jul/day-31,
August,1,Maccabean Mother and Seven Sons,aug/day-01,swap 2026-05-13: Alphonsus canonized 1839 post-AASS; AASS Aug 1 line 85
August,2,"Stephen I, Pope",aug/day-02,swap 2026-05-13: Eusebius of Vercelli not in AASS Aug 2; Stephen I moved from Aug 3 (AASS Aug 2 line 411)
August,3,Lydia the Purpurarian,aug/day-03,swap 2026-05-13: Stephen I moved to Aug 2; Lydia at AASS Aug 3 line 29 (Acts 16 convert)
August,4,Dominic Guzmán,aug/day-04,AASS-native (old feast day)
August,5,Oswald of Northumbria,aug/day-05,
August,6,Justus and Pastor,aug/day-06,swap 2026-05-14 (eleventh correction): Transfiguration feast has no DE-section in AASS Aug 6; Justus and Pastor at line 2750 (Spanish boy-martyrs of Toledo under Diocletian, ancient Iberian cult)
August,7,Victricius of Rouen,aug/day-07,swap 2026-05-13: Sixtus II's AASS day is Aug 6 (Transfiguration holds Aug 6); Victricius at AASS Aug 7 line 1061
August,8,Aemilianus of Cyzicus,aug/day-08,9th c. iconodule confessor
August,9,Numidicus of Carthage,aug/day-09,
August,10,Lawrence of Rome,aug/day-10,
August,11,Alexander Carbonarius of Comana,aug/day-11,swap 2026-05-13: Clare's AASS day is Aug 12; Alexander at AASS Aug 11 line 25
August,12,Clare of Assisi,aug/day-12,swap 2026-05-13: Chantal canonized 1767 post-AASS Augusti vol II; Clare moved from Aug 11 (AASS Aug 12 line 6521)
August,13,Maximus the Confessor,aug/day-13,
August,14,Eusebius of Rome,aug/day-14,
August,15,Alypius of Tagaste,aug/day-15,swap 2026-05-13 (eighth correction): Assumption has no DE-section in AASS Aug 15; Alypius at line 73 — Augustine's lifelong friend, bishop of Tagaste
August,16,Hyacinth of Poland,aug/day-16,swap 2026-05-13: Stephen of Hungary's AASS day is Sept 2 (line 17169); Hyacinth moved from Aug 17 (AASS Aug 16 header)
August,17,Liberatus and the Carthaginian Martyrs,aug/day-17,swap 2026-05-13: Hyacinth moved to Aug 16; Liberatus at AASS Aug 17 line 6304 (5th c. martyrs under Vandal Huneric)
August,18,Helena of Constantinople,aug/day-18,
August,19,Andrew the Tribune,aug/day-19,swap 2026-05-13: John Eudes canonized 1925 post-AASS; Andrew at AASS Aug 19 line 2854 (Roman military martyr in Cilicia)
August,20,Bernard of Clairvaux,aug/day-20,
August,21,Bernard Tolomei,aug/day-21,Olivetan founder
August,22,Sigfrid of Wearmouth,aug/day-22,
August,23,Sidonius Apollinaris,aug/day-23,5th c. bishop-poet of Clermont
August,24,Bartholomew the Apostle,aug/day-24,
August,25,Louis IX of France,aug/day-25,
August,26,Bregwine of Canterbury,aug/day-26,
August,27,Caesarius of Arles,aug/day-27,
August,28,Augustine of Hippo,aug/day-28,
August,29,Beheading of John the Baptist,aug/day-29,feast
August,30,Pammachius the Senator,aug/day-30,swap 2026-05-13: Rose of Lima's AASS day is Aug 26 (line 18446); Pammachius at AASS Aug 30 line 1727 (Roman senator, friend of Jerome)
August,31,Aidan of Lindisfarne,aug/day-31,
September,1,Arcanus and Aegidius of Borgo San Sepolcro,sep/day-01,swap 2026-05-13 (eighth correction): Drithelm absent; the AASS Aegidius at line 41387 is NOT St Giles of Provence (he has no substantive AASS section) but the 10th-c. Spanish hermit who with Arcanus of Arcadia founded Borgo S. Sepolcro in Umbria
September,2,Stephen of Hungary,sep/day-02,swap 2026-05-13 (eighth correction): William of Roskilde absent; Stephen at line 17169 (cleared in seventh correction)
September,3,Phoebe the Deaconess,sep/day-03,biblical (Rom 16)
September,4,Rose of Viterbo,sep/day-04,substantive AASS entry at line 58535 (DE SANCTA ROSA VIRGINE)
September,5,Bertinus of Sithiu,sep/day-05,
September,6,Magnus of Füssen,sep/day-06,
September,7,Cloud (Clodoald),sep/day-07,
September,8,Adrian and Natalia,sep/day-08,swap 2026-05-13 (eighth correction extension): Nativity of Mary has no DE-section in AASS Sep 8 — same pattern as Aug 15 Assumption / Sep 14 Holy Cross; Adrian + 23 companions + his wife Natalia at line 403 (the day's headline AASS treatment)
September,9,Kieran of Clonmacnoise,sep/day-09,swap 2026-05-13 (eighth correction): Peter Claver canonized 1888 — post-AASS Sept II (1748); Kieran at line 7564
September,10,Nicholas of Tolentino,sep/day-10,
September,11,Paphnutius of Egypt,sep/day-11,
September,12,Ailbe of Emly,sep/day-12,
September,13,Maurilius of Angers,sep/day-13,swap 2026-05-13 (eighth correction): Notburga's AASS day is Sep 14 not 13; Maurilius at line 1362
September,14,Cornelius and Cyprian,sep/day-14,swap 2026-05-13 (eighth correction): Exaltation of Holy Cross has no DE-section; Cornelius (line 34) and Cyprian of Carthage (line 7114) on AASS-true day
September,15,Catherine of Genoa,sep/day-15,
September,16,Euphemia,sep/day-16,swap 2026-05-13 (eighth correction): Cornelius/Cyprian moved to AASS-true Sep 14; Euphemia substantive on day-16
September,17,Hildegard of Bingen,sep/day-17,
September,18,Joseph of Cupertino,sep/day-18,
September,19,Theodore of Tarsus,sep/day-19,
September,20,John of Egypt,sep/day-20,swap 2026-05-13 (eighth correction): Vincent Madelgarus absent from AASS Sep 20; John of Lycopolis at line 11268
September,21,Matthew the Apostle,sep/day-21,
September,22,Maurice and the Theban Legion,sep/day-22,swap 2026-05-13 (eighth correction): Thomas of Villanova's AASS day is Sep 18 (line 5583); Maurice at line 3980
September,23,Adamnan of Iona,sep/day-23,
September,24,Gerard of Csanád,sep/day-24,
September,25,Cleophas,sep/day-25,swap 2026-05-13 (eighth correction): Albert of Jerusalem canonized 1914 — post-AASS; Cleophas at line 38 (Emmaus disciple)
September,26,Cyprian and Justina,sep/day-26,swap 2026-05-13 (eighth correction): Cosmas/Damian's AASS-true day is Sep 27; Cyprian of Antioch + Justina at line 840
September,27,Cosmas and Damian,sep/day-27,swap 2026-05-13 (eighth correction): Vincent de Paul canonized 1737 — absent from AASS Sept VII (1760); Cosmas/Damian at line 7311 (their AASS-true day)
September,28,Wenceslaus of Bohemia,sep/day-28,
September,29,Holy Archangels,sep/day-29,feast (Michaelmas)
September,30,Jerome,sep/day-30,
October,1,Remigius of Reims,oct/day-01,Baptized Clovis
October,2,Leodegar of Autun,oct/day-02,swap 2026-05-13 (ninth correction): Guardian Angels feast has no DE-section in AASS Oct 2; Leodegar (Léger) at line 4907, 7th-c. Frankish bishop blinded and martyred c. 679
October,3,The Two Ewalds,oct/day-03,
October,4,Francis of Assisi,oct/day-04,
October,5,Galla of Rome,oct/day-05,
October,6,Bruno of Cologne,oct/day-06,
October,7,Justina of Padua,oct/day-07,swap 2026-05-13 (ninth correction): Rosary feast has no DE-section in AASS Oct 7; Justina V.M. at line 30 — distinct from Justina of Antioch on Sep 26
October,8,Demetrius of Thessalonica,oct/day-08,
October,9,Denis of Paris and Companions,oct/day-09,
October,10,Paulinus of York,oct/day-10,
October,11,Bruno the Great,oct/day-11,
October,12,Edwin of Northumbria,oct/day-12,swap 2026-05-13 (ninth correction): Wilfrid absent from AASS Oct 12; Edwin (the king Paulinus baptized) at line 13978 — natural pair with Oct 10 Paulinus of York
October,13,Theophilus of Antioch,oct/day-13,
October,14,"Callistus I, Pope",oct/day-14,
October,15,Teresa of Ávila,oct/day-15,
October,16,Gall of St. Gallen,oct/day-16,swap 2026-05-13 (ninth correction): Hedwig absent from AASS Oct 16; Gall at line 8479 — Columbanus's Irish companion, founder of the great Allemanic abbey
October,17,John Colobus (John the Dwarf),oct/day-17,swap 2026-05-13 (ninth correction): Ignatius of Antioch absent from AASS Oct 17 substantively (only in apparatus around Heron); John Colobus at line 4323 — Egyptian desert father of the Apophthegmata
October,18,Luke the Evangelist,oct/day-18,
October,19,Peter of Alcántara,oct/day-19,Franciscan reformer; mentor to Teresa of Ávila — verified AASS-native at line 32 (AASS Oct VIII 1853, post-canonization 1669); NOT a modern-external exception as the standing notes claimed
October,20,Acca of Hexham,oct/day-20,
October,21,Hilarion of Gaza,oct/day-21,
October,22,Abercius of Hierapolis,oct/day-22,2nd c.; his own epitaph survives
October,23,Severinus of Cologne,oct/day-23,swap 2026-05-13 (ninth correction): Boethius absent from AASS Oct 23 (cult only formalized 1883); Severinus of Cologne at line 5962, 4th-c. bishop, the day's substantive Severinus
October,24,Felix of Thibiuca,oct/day-24,
October,25,Gaudentius of Brescia,oct/day-25,
October,26,Cedd of Lastingham,oct/day-26,
October,27,Frumentius of Ethiopia,oct/day-27,
October,28,"Simon and Jude, Apostles",oct/day-28,
October,29,Narcissus of Jerusalem,oct/day-29,
October,30,Marcellus the Centurion,oct/day-30,
October,31,Quintinus of Vermand,oct/day-31,swap 2026-05-13 (ninth correction extension): Wolfgang absent from AASS Oct 31 — his Acta were deferred to a later Nov volume after the Bollandist working on them died in 1900 and were never substantively published; Quintinus at line 8968 (3rd-c. martyr of Vermand/Saint-Quentin in Picardy)
November,1,Austremonius of Clermont,nov/day-01,swap 2026-05-13 (tenth correction): All Saints feast has no DE-section in AASS Nov 1; Austremonius at line 2556 (3rd-c. apostle of the Auvergne)
November,2,Ambrose of Agaune,nov/day-02,swap 2026-05-13 (tenth correction): All Souls feast has no DE-section in AASS Nov 2; Ambrose at line 43369 (Burgundian abbot of Saint-Maurice d'Agaune; pairs with Sep 22 Maurice/Theban Legion)
November,3,Hubert of Liège,nov/day-03,swap 2026-05-13 (tenth correction): Martin de Porres canonized 1962 (post-AASS); Hubert at line 24481 (7th-c. apostle of the Ardennes; stag-conversion legend)
November,4,Emeric of Hungary,nov/day-04,swap 2026-05-13 (tenth correction): Borromeo (canonized 1610) listed in calendar but no DE-section in AASS Nov vol II; Emeric at line 77177 (son of King Stephen of Hungary — pairs with Sep 2 Stephen and the Regnum Marianum dedication)
November,5,Zechariah and Elizabeth,nov/day-05,biblical AND AASS-substantive at line 516 (DE SS. ZACHARIA ET ELISABETH PARENTIBUS S. IOHANNIS BAPTISTAE) — verified 2026-05-13
November,6,Winnoc of Wormhoudt,nov/day-06,verified AASS-substantive at line 15471
November,7,Willibrord of Utrecht,nov/day-07,verified AASS-substantive at line 17479
November,8,Godfrey of Amiens,nov/day-08,verified AASS-substantive at line 62284
November,9,Ursinus of Bourges,nov/day-09,swap 2026-05-13 (tenth correction): Lateran Dedication feast has no DE-section in AASS Nov 9; Ursinus at line 47098 (apostolic-era founder of the see of Bourges)
November,10,Tryphon of Lampsacus,nov/day-10,swap 2026-05-13 (tenth correction): Pope Leo I deferred by AASS Nov vol IV to Nov 12 (editorial accident, same Wolfgang pattern); Tryphon is the principal substantive AASS Nov 10 feast (early martyr)
November,11,Martin of Tours,(out of scope — Phase 0 stops at Nov 10),Propylaeum
November,12,Martin,(out of scope),Propylaeum
November,13,Valentinus,(out of scope),Propylaeum
November,14,Clement,(out of scope),Propylaeum
November,15,Eugenius,(out of scope),Propylaeum
November,16,Rufin,(out of scope),Propylaeum
November,17,Gregory,(out of scope),Propylaeum
November,18,Romanus,(out of scope),Propylaeum
November,19,Elizabeth,(out of scope),Propylaeum
November,20,Ampelius,(out of scope),Propylaeum
November,21,Presentation of Mary,(out of scope),Propylaeum
November,22,Cecilia,(out of scope),Propylaeum
November,23,Clement,(out of scope),Propylaeum
November,24,Chrysogonus,(out of scope),Propylaeum
November,25,Catherine,(out of scope),Propylaeum
November,26,Silvester,(out of scope),Propylaeum
November,27,Basileus,(out of scope),Propylaeum
November,28,Rufinus,(out of scope),Propylaeum
November,29,Andrew,(out of scope),Propylaeum
November,30,Andrew,(out of scope),Propylaeum
December,1,Diodorus,(out of scope),Propylaeum
December,2,Bibiana,(out of scope),Propylaeum
December,3,Sabbas,(out of scope),Propylaeum
December,4,Barbara,(out of scope),Propylaeum
December,5,Sabbas,(out of scope),Propylaeum
December,6,Nicholas,(out of scope),Propylaeum
December,7,Mary,(out of scope),Propylaeum
December,8,Eutychian (Pope),(out of scope),Propylaeum
December,9,Restitutus,(out of scope),Propylaeum
December,10,Melchiades (Pope),(out of scope),Propylaeum
December,11,Damasus,(out of scope),Propylaeum
December,12,Synesius,(out of scope),Propylaeum
December,13,Lucy,(out of scope),Propylaeum
December,14,Hero,(out of scope),Propylaeum
December,15,Mary,(out of scope),Propylaeum
December,16,Valentinus,(out of scope),Propylaeum
December,17,Florian,(out of scope),Propylaeum
December,18,Rufinus,(out of scope),Propylaeum
December,19,Nemesius,(out of scope),Propylaeum
December,20,Thomas,(out of scope),Propylaeum
December,21,Thomas,(out of scope),Propylaeum
December,22,Flavian,(out of scope),Propylaeum
December,23,Victoria,(out of scope),Propylaeum
December,24,Gregory,(out of scope),Propylaeum
December,25,Anastasia,(out of scope),Propylaeum
December,26,Stephen,(out of scope),Propylaeum
December,27,John,(out of scope),Propylaeum
December,28,Eutychius,(out of scope),Propylaeum
December,29,Thomas,(out of scope),Propylaeum
December,30,Sabinus,(out of scope),Propylaeum
December,31,Silvester,(out of scope),Propylaeum
